"","Acinar_cells","Ductal_terminal_ductal_like","Ductal_CRISP3_high-centroacinar_like","Cancer_clone_A","Ductal_MHC_Class_II","Cancer_clone_B","mDCs_A","Ductal_APOL1_high-hypoxic","Tuft_cells","mDCs_B","pDCs","Endocrine_cells","Endothelial_cells","Macrophages_A","Mast_cells","Macrophages_B","T_cells_&_NK_cells","Monocytes","RBCs","Fibroblasts"
"CKMT1B",0.166741332803949,0.922267252771468,0.562224543144831,0.332957326358072,0.715847829740523,0.498390053198218,0,0.682866369288907,0.45365266115024,0,0,0,0,0,0,0,0,0,0,0
"CLDN1",0,0.906519150376221,0.742181934170576,0.999301589634556,0.927706847780704,1.01530123565407,0,1.08038287082618,0.725535427517758,0.273351200735453,0,0,0.547934640146587,0.347737015403991,0,0,0.354987544874799,0,0.812317809614403,0.973876462671341
"CLDN18",0,0.126629795638845,0.17780440504301,0.77346159138598,0,0.522926637097974,0,0.0881118384480334,0,0,0,0,0,0,0,0,0,0,0,0
"CLDN2",0.679578967583554,0.944329985446593,0.982611996043712,0.618166236667594,0.968492312008074,0.518902238645913,0,0.382881793289518,0,0.333048255587181,0,0,0,0.30227274776014,0,0,0.298268568799602,0,0.760340273990183,0
"CLDN5",0,0,0,0,0.0939899633826062,0,0,0,0.300034734857419,0,0,0,1.27178008324677,0,0,0,0,0,0,0
"CLEC12A",0,0,0,0,0,0,0,0.0961198042376004,0,0,0,0,0,0,0.340181990998312,0,0,0.943141591888654,0,0
"CLEC14A",0,0,0,0,0,0,0,0,0,0,0,0,1.14551816978778,0,0,0,0,0,0,0
"CLEC4C",0,0,0,0,0,0,0,0,0,0,0.95475207334411,0,0,0,0,0,0,0,0,0
"CLEC5A",0,0,0.047835994350138,0,0,0,0.876526695788307,0,0,0.513038761997947,0,0,0,1.08273104427084,0,1.23060800867579,0.354987544874799,0,0,0
"CLEC7A",0,0.04984351192381,0,0,0,0.214911897917081,0.937896208573127,0,0.372978834391553,0.962714272355517,0.632483432424666,0,0.643434972145686,1.07415930081437,0,1.13378136277685,0.289584674850724,0.60318195581038,0,0
"CLMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908677210452424
"CLPS",0.785654020907212,0.139892115037047,0.148282780337875,0.177618937054497,0.173488462499812,0.145883232783441,0,0.153468990710007,0,0,0,0,0,0,0,0,0.338455743902554,0,0,0
"CLPSL1",0.612329699326835,0,0,0.105503782558828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMTM2",0,0.092728465789729,0,0,0,0.0584158424769682,0,0,0,0,0,0,0.565252568089719,0,0,0,0,1.10055554602714,0,0
"CNIH3",0.448104008003407,0.064390971085234,0.0576525789946858,0,0,0,0,0,0.869153115976889,0,0,0,0,0,0,0,0,0,0,0
"CNTNAP5",0,0,0,0,0,0,0,0,0,0,0,0.839321148341826,0,0,0,0,0,0,0,0
"COL10A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16022398953421
"COL15A1",0,0.0885325114964145,0,0,0.076828277456521,0.130227623653152,0,0.109771461496708,0,0,0,0,1.34804514205778,0,0,0,0,0,0,0.928157236035731
"COL17A1",0.259735906659788,0.216268005780639,0.102121336150593,0.992174704167117,0.168802221299383,1.1031261397655,0,0.219046419995599,0,0,0,0,0.427044024768282,0,0,0,0,0.536169491755279,0.341777773194254,0
"COL1A2",0,0.0802177483099176,0.0563738227019563,0,0.13655951777836,0,0,0,0,0,0,0,0,0,0,0.331274262742781,0,0,0,0.504827954810585
"COL26A1",0,0,0,0,0,0,0,0,0,0,0.790785278077041,0,0,0,0,0,0,0,0,0
"COL4A1",0,0.0646652437746323,0.0652904360196795,0,0,0.152512444990478,0,0,0,0,0,0,1.32097067630493,0,0,0,0,0,0,1.24197941790784
"COL4A2",0,0.154276090568919,0.112890209424459,0,0.177661634869319,0.220541773792204,0,0,0,0,0,0,1.3485856355777,0,0,0,0,0,0,0.859917168621557
